id,name,latitude,longitude,price,room_type,number_of_reviews
22317034,GRAN VIA IX,40.42375,-3.70407,110,Entire home/apt,1
34856359,Champions League 3 bedrooms!,40.44765,-3.69825,1000,Private room,0
29329834,Habitación Superior Doble,40.42323,-3.71074,75,Private room,0
19235228,Incredible View Appartment in Emblematic Building,40.4242,-3.69257,125,Hotel room,23
548212,Single room with private bathroom,40.42599000000001,-3.71691,38,Private room,60
28042547,The best Location.,40.41652,-3.69728,48,Private room,11
19171134,Habitacion en Chueca,40.42269,-3.6987,90,Private room,0
34804979,10 minutes walking to Wanda Metropolitano Stadium.,40.43338,-3.62658,2000,Entire home/apt,0
33207485,Cozy & Chic and Renovated - BEST LOCATION,40.41039,-3.7026,80,Entire home/apt,24
21308246,Bright design attic in the Lavapiés neighborhood,40.40806,-3.70125,52,Entire home/apt,106
17579529,Apartamento Plaza de Toros Ventas Madrid,40.43218,-3.6671,60,Entire home/apt,11
30033890,APARTMENT IN LA LATINA FINAL CHAMPIONS LEAGUE,40.41,-3.71209,160,Entire home/apt,0
35158187,"Most exclusive area in Madrid, next to “El Retiro”",40.42574000000001,-3.68166,400,Entire home/apt,0
22336836,Linda habitación en madrid,40.43198,-3.63372,19,Private room,0
28734408,DOBO ROOMS PUERTA DEL SOL,40.41873,-3.70932,664,Entire home/apt,14
8902683,Room and bathroom in Bravo Murillo,40.45418,-3.70218,27,Private room,6
23978612,Apartamento céntrico y bien comunicado.wifi.,40.4109,-3.69918,39,Entire home/apt,92
23685128,Clean and Large Apartment in the Center of Madrid,40.43813,-3.7095,275,Entire home/apt,0
20326040,Lollipop Flats: The Kings hideout,40.41273,-3.71357,33,Entire home/apt,34
34276488,Stylish 2bed - 2min to tube in Madrid City Center,40.40816,-3.69905,75,Entire home/apt,3
35156393,Hab. comoda en piso tranquilo y bien comunicado.,40.34146,-3.7091,16,Private room,1
35195094,FINAL CHAMPIONS LEAGUE!!!19minWANDA METEOPOLITANO,40.37613,-3.76209,200,Private room,0
27241406,Apartamento entero con chimenea en Madrid,40.44293,-3.67536,50,Entire home/apt,9
19371660,Exterior flat completely refurbished in Chueca,40.42522,-3.69635,390,Entire home/apt,0
35988623,"Luxurious, stylish stay in trendy Malasaña/Chueca.",40.42635,-3.70494,185,Entire home/apt,0
24764748,Habitacion con maravillosas vistas,40.38975,-3.6887,20,Private room,4
893177,Cozy and Design Apartment in Madrid,40.42155,-3.68821,75,Hotel room,0
10188918,CENTRO. Bonito piso en la Latina.,40.40946,-3.70995,100,Entire home/apt,30
15185895,Piso Luminoso con vistas al Museo Reina Sofia,40.40842,-3.69326,95,Entire home/apt,127
36716485,Your BEST EXPERIENCE in Fuencarral-Malasaña,40.42549,-3.70006,69,Entire home/apt,6
13599880,Habitación 12 m² Súper Céntrica - Room with WC.,40.43464,-3.70863,30,Private room,59
23135389,Fantastic residence ``FUNWAY´´ north zone Madrid,40.45971,-3.69707,50,Private room,0
34586034,WANDA METROPOLITANO,40.44365,-3.58313,500,Entire home/apt,0
27888194,Cozy and modern apartment for 4 in Madrid,40.40312,-3.69,60,Entire home/apt,38
33174238,Habitacion de los sueños!,40.39182,-3.73965,45,Private room,0
3238612,Ópera I - Cassavetes,40.41882,-3.70909,104,Entire home/apt,19
31929550,4. GRAN HABITACION P/4 EN C/ GRAN VIA C/ BAÑO PRIV,40.4201,-3.69906,50,Private room,13
19408012,Private bedroom with balcony in Malasaña,40.42764,-3.70587,60,Private room,76
33539731,"Princesa  I, extraordinaria  ubicación",40.42418,-3.71369,100,Entire home/apt,8
